x y z dx dy dz magnitude
2.34726 -4.50201 6.51053 2.64336 10.0763 -3.92208 11.1311
0.955142 2.37787 3.61728 2.53252 3.13122 -2.3093 4.64231
5.38462 4.79596 4.25149 -4.35995 -0.822149 -3.54168 5.67702
0.785932 2.93444 4.0299 4.14891 1.3291 -10.6214 11.4802
5.16978 2.98755 5.44106 -2.72456 1.68925 -5.83549 6.65806
1.60066 3.20624 5.80372 3.41089 1.33857 -4.90343 6.12124
5.17261 6.57776 5.10054 0.469372 -4.42869 -3.83092 5.87448
4.4698 5.0448 5.58321 -2.441 -4.13581 -2.32074 5.33378
2.5434 6.71671 11.6059 2.32386 -4.51201 -10.6251 11.775
0.781519 2.18204 1.16267 4.48006 3.62219 2.65987 6.34556
1.74466 5.11769 1.82088 3.166 -3.04955 3.27954 5.4844
0.987728 4.73831 3.37786 6.21434 -2.22299 -2.16237 6.94519
4.84195 4.53486 5.66389 -2.54495 -2.07828 0.551072 3.33162
5.195 5.65749 4.61707 -2.39643 -4.45046 -2.42159 5.60478
2.09086 1.29309 2.46438 -1.03936 4.09412 -0.227102 4.23009
5.15507 -0.841198 5.03957 -3.21902 6.67896 -1.90385 7.65476
1.96311 2.59214 -0.642734 3.13671 0.23497 5.93182 6.71422
0.603745 1.9304 2.64016 0.913594 3.3057 -0.681252 3.49663
1.72013 1.0751 3.74842 3.74864 6.4067 1.12978 7.50829
4.59478 4.53665 -0.344541 -2.99494 -3.0437 2.6314 5.01578
4.23871 1.76411 -0.470501 -4.18819 2.57057 3.78171 6.20082
2.77038 5.51229 2.01368 -0.0527927 -3.87576 -0.26049 3.88486
1.09426 3.01294 4.28252 3.80604 3.80311 -0.534906 5.407
1.20767 3.57658 0.157689 10.8844 0.374241 5.2506 12.0905
1.69113 1.98435 1.4263 -0.38222 2.9935 2.26576 3.7737
3.91535 5.18589 0.540805 -1.86685 -6.80254 4.57342 8.4069
4.72376 4.86985 1.00792 -5.05277 -2.858 1.69287 6.04685
2.14809 5.66378 2.42526 2.10785 -3.75389 -1.98063 4.73895
0.930001 3.63209 4.43615 4.52734 -0.405199 -10.9949 11.8975
4.49955 -4.95336 1.19789 -0.947908 10.9616 4.76201 11.9888
2.65335 1.43994 -10.7572 2.09921 3.44893 22.5533 22.9119
3.20087 1.39238 -0.0541934 1.73121 3.11002 5.3713 6.44361
1.74 -0.848334 5.02722 1.59683 6.25959 -4.27527 7.74663
6.30451 1.95226 2.74408 -4.14782 3.95552 0.282741 5.73851
1.49577 1.33276 3.86473 5.68435 3.92311 -1.90717 7.16519
1.24829 3.65531 4.72968 4.24379 -0.113684 0.42392 4.26642
2.93068 5.35876 1.65208 3.28469 -2.64584 2.21859 4.76569
7.87322 4.5764 1.05035 -7.29794 -1.26746 3.19839 8.06821
2.37966 6.19151 5.2727 -1.36789 -3.88846 -4.15885 5.85553
1.82025 4.19822 0.234084 4.74296 -1.40971 3.57094 6.10201
0.12387 4.43772 1.23961 7.09341 -2.42633 1.43675 7.63334
5.65317 1.79341 3.45547 -4.16157 3.65438 -0.250521 5.54399
5.46027 5.42287 3.15769 -3.6222 -4.02362 -0.60211 5.44723
4.90925 4.85794 1.11693 1.13942 -2.3112 2.7558 3.77285
1.69233 14.7256 4.88818 2.58499 -12.9439 -3.35055 13.6181
12.0543 2.94005 5.60765 -10.0335 1.55744 -4.85386 11.2542
3.54906 7.45121 2.18208 0.540056 -5.96924 6.10516 8.55549
2.35376 2.36333 -0.357252 2.55171 2.70142 5.4361 6.58483
2.33678 4.78253 0.758801 2.25746 -5.95139 4.5317 7.81355
1.6263 4.91318 1.3131 10.7101 -3.71242 2.84381 11.6866
2.20277 2.52486 6.17819 2.5153 2.1964 -0.615158 3.39548
3.76551 1.645 -12.0308 0.61141 3.10978 24.6281 24.8312
0.987819 3.95591 10.5806 4.84457 -1.06734 -9.87434 11.0504
4.38185 4.73014 0.1374 -1.3046 -3.87021 5.55581 6.89547
1.17746 4.70741 -5.19622 4.11566 -2.28759 9.65345 10.7406
4.703 0.600929 5.19061 -2.28618 7.50249 -9.19589 12.0863
